,Country,Year,RainValue,TempValue,Cases
0,南投,1998-01-01,7.367228394203039,16.809422836095763,6.0
1,南投,1999-01-01,4.670745002936464,16.242549889502765,0.0
2,南投,2000-01-01,5.594348876289135,16.356248204419888,0.0
3,南投,2001-01-01,5.932146387855433,16.20976302486188,1.0
4,南投,2002-01-01,3.2166510362670353,16.349279571823203,1.0
5,南投,2003-01-01,3.3046637884106813,16.217946733425414,0.0
6,南投,2004-01-01,5.390589922151013,15.820063186003685,2.0
7,南投,2005-01-01,7.975202145994476,15.920381933701659,2.0
8,南投,2006-01-01,7.471953585171731,16.228643821362798,2.0
9,南投,2007-01-01,7.171579973697054,16.07867628453039,6.0
10,南投,2008-01-01,7.655622774513352,15.883563095764273,3.0
11,南投,2009-01-01,5.285030244428636,16.179377626611416,3.0
12,南投,2010-01-01,5.09096938887477,16.179444926335176,5.0
13,南投,2011-01-01,4.431001290492634,15.849124476519338,4.0
14,南投,2012-01-01,7.802876244432781,16.260997605893188,4.0
15,南投,2013-01-01,6.883477746354512,16.21201682320442,7.0
16,南投,2014-01-01,4.62265767895534,16.15031612799263,4.0
17,南投,2015-01-01,4.1214864689714545,16.589406546961325,13.0
18,南投,2016-01-01,6.429342814917127,16.553746187845302,6.0
19,南投,2017-01-01,6.906612863411603,16.55100723756906,9.0
20,南投,2018-01-01,4.530811934517495,16.268044180478825,9.0
21,南投,2019-01-01,6.881238107367404,16.617020161141806,7.0
22,南投,2020-01-01,3.532160940036832,16.643819069981582,0.0
23,嘉義,1998-01-01,6.997520107810097,21.342817980769233,1.0
24,嘉義,1999-01-01,4.731263514644231,20.614084110576922,1.0
25,嘉義,2000-01-01,4.241579995634615,20.623680184294873,1.0
26,嘉義,2001-01-01,6.993594340225962,20.812796394230766,2.0
27,嘉義,2002-01-01,3.739977831482371,21.111465801282048,8.0
28,嘉義,2003-01-01,3.3535701837716343,20.90307376201923,0.0
29,嘉義,2004-01-01,5.05186015333093,20.60137765224359,2.0
30,嘉義,2005-01-01,9.258368717638621,20.530830616987178,2.0
31,嘉義,2006-01-01,7.557399736816508,20.992334951923077,3.0
32,嘉義,2007-01-01,7.143038453114584,20.91133105769231,8.0
33,嘉義,2008-01-01,8.365783467764423,20.691711333333334,2.0
34,嘉義,2009-01-01,6.069820260410256,20.94685127003205,3.0
35,嘉義,2010-01-01,5.231511141028045,20.832826089743588,13.0
36,嘉義,2011-01-01,4.1177550821875,20.37900669951923,4.0
37,嘉義,2012-01-01,7.129401564853365,20.78255891025641,2.0
38,嘉義,2013-01-01,7.0322313638806095,20.721326105769233,3.0
39,嘉義,2014-01-01,4.04538618014984,20.72591003205128,13.0
40,嘉義,2015-01-01,4.977952939780448,21.388957147435896,60.0
41,嘉義,2016-01-01,6.861872846153845,21.239885921474357,5.0
42,嘉義,2017-01-01,5.72233296003205,21.293889423076923,8.0
43,嘉義,2018-01-01,5.830350272088141,20.999493645833333,7.0
44,嘉義,2019-01-01,6.34720503632532,21.337904062499998,7.0
45,嘉義,2020-01-01,3.4126151276362178,21.4387971875,0.0
46,基隆,1998-01-01,12.593796916666667,22.059889166666668,0.0
47,基隆,1999-01-01,6.645888458333333,21.36328416666667,0.0
48,基隆,2000-01-01,13.876567499999998,21.445674999999998,1.0
49,基隆,2001-01-01,9.871760666666667,21.486145,0.0
50,基隆,2002-01-01,6.120066833333334,21.73521583333333,1.0
51,基隆,2003-01-01,5.355717150866667,21.49654083333333,0.0
52,基隆,2004-01-01,9.855765083333333,21.134182499999998,2.0
53,基隆,2005-01-01,11.574172341666666,21.066875,0.0
54,基隆,2006-01-01,9.906594333333333,21.548110833333336,1.0
55,基隆,2007-01-01,11.148612008333334,21.491948333333333,3.0
56,基隆,2008-01-01,10.474890119916665,21.231485833333334,5.0
57,基隆,2009-01-01,9.084261575000001,21.18786583333333,4.0
58,基隆,2010-01-01,8.4770940875,20.98334583333333,3.0
59,基隆,2011-01-01,10.5434555,20.798040833333335,3.0
60,基隆,2012-01-01,10.183188916666666,21.189190833333335,1.0
61,基隆,2013-01-01,9.898817083333332,21.61516333333333,2.0
62,基隆,2014-01-01,8.0433234,21.512814166666665,1.0
63,基隆,2015-01-01,9.0792845,21.486023333333332,9.0
64,基隆,2016-01-01,9.891121083333333,21.75736416666667,2.0
65,基隆,2017-01-01,10.068061250000001,21.606935,3.0
66,基隆,2018-01-01,9.187917691666666,21.541665833333337,2.0
67,基隆,2019-01-01,9.311491333333333,21.65621666666667,4.0
68,基隆,2020-01-01,10.039100916666666,21.607725000000002,0.0
69,宜蘭,1998-01-01,11.86140393877551,18.66479916666667,3.0
70,宜蘭,1999-01-01,5.9053879141156465,17.636450255102044,0.0
71,宜蘭,2000-01-01,9.944468582482992,17.729467312925173,0.0
72,宜蘭,2001-01-01,10.165652889455783,17.479460255102044,2.0
73,宜蘭,2002-01-01,4.087125893027211,17.672993605442176,0.0
74,宜蘭,2003-01-01,4.296678634992348,17.583698074829936,2.0
75,宜蘭,2004-01-01,6.78848505284864,17.16176973384354,3.0
76,宜蘭,2005-01-01,9.43745275085034,17.231241164115648,1.0
77,宜蘭,2006-01-01,7.273033586139457,17.59884552721088,1.0
78,宜蘭,2007-01-01,8.894660856964286,17.527151207482994,3.0
79,宜蘭,2008-01-01,8.968409120918366,17.192285687755103,1.0
80,宜蘭,2009-01-01,7.584061267074829,17.419896826020405,2.0
81,宜蘭,2010-01-01,6.248659483843537,17.52162742346939,3.0
82,宜蘭,2011-01-01,7.484313185374149,16.969240613095238,2.0
83,宜蘭,2012-01-01,8.717293598724488,17.405301471088436,7.0
84,宜蘭,2013-01-01,6.812302086649661,17.44676430272109,2.0
85,宜蘭,2014-01-01,4.63329266585034,17.301022377551018,1.0
86,宜蘭,2015-01-01,6.4167334531972795,17.858745578231293,8.0
87,宜蘭,2016-01-01,9.354361186904763,17.977851972789114,3.0
88,宜蘭,2017-01-01,8.251902237244899,17.75942214285714,3.0
89,宜蘭,2018-01-01,6.473585344472789,17.585654642857143,2.0
90,宜蘭,2019-01-01,7.119545795042516,17.930438001700683,5.0
91,宜蘭,2020-01-01,6.027331111989796,17.87053792517007,1.0
92,屏東,1998-01-01,6.755585191734218,23.010984873737375,13.0
93,屏東,1999-01-01,7.1727332113693185,22.0441155239899,2.0
94,屏東,2000-01-01,6.275543941444445,22.097988188131314,4.0
95,屏東,2001-01-01,8.284723145126893,22.137983118686865,3.0
96,屏東,2002-01-01,3.804308748291667,22.38320349747475,385.0
97,屏東,2003-01-01,4.705039500410353,22.137356843434343,17.0
98,屏東,2004-01-01,5.040876713045455,21.84957018939394,288.0
99,屏東,2005-01-01,9.313718637294192,21.869036546717172,12.0
100,屏東,2006-01-01,6.203689131883207,22.471622872474747,17.0
101,屏東,2007-01-01,7.855388041150883,22.311555113636363,7.0
102,屏東,2008-01-01,7.641464329273359,21.85216234217172,10.0
103,屏東,2009-01-01,6.242691603839015,22.0302254229798,81.0
104,屏東,2010-01-01,6.878088837986743,21.91664190025253,17.0
105,屏東,2011-01-01,5.637054337535985,21.481434154040404,149.0
106,屏東,2012-01-01,8.86206402158144,21.93869629419192,5.0
107,屏東,2013-01-01,6.365548667556818,21.893508680555556,480.0
108,屏東,2014-01-01,4.617163986009469,21.820033731060608,228.0
109,屏東,2015-01-01,5.226573248530302,22.48301318181818,414.0
110,屏東,2016-01-01,10.002245651263257,22.46545835227273,35.0
111,屏東,2017-01-01,5.839297581114268,22.5712251010101,8.0
112,屏東,2018-01-01,8.242513249662247,22.233342512626265,5.0
113,屏東,2019-01-01,6.5741555661628786,22.685878661616165,11.0
114,屏東,2020-01-01,5.112139980688131,22.738334204545453,1.0
115,彰化,1998-01-01,4.534148373511006,23.853603616352203,4.0
116,彰化,1999-01-01,2.5900039362405662,23.238761163522014,2.0
117,彰化,2000-01-01,2.8984817098270432,23.151877044025156,2.0
118,彰化,2001-01-01,4.07652721889151,23.284591666666667,7.0
119,彰化,2002-01-01,2.2433157725,23.837451572327044,5.0
120,彰化,2003-01-01,1.5766346506525155,23.48362704402516,2.0
121,彰化,2004-01-01,3.407545528772013,23.23226650943396,3.0
122,彰化,2005-01-01,4.653406829672956,23.165129559748426,6.0
123,彰化,2006-01-01,3.944576842421384,23.534667610062897,4.0
124,彰化,2007-01-01,4.714425936988994,23.53945754716981,5.0
