,Country,Year,RainValue,TempValue,Cases
22,南投,2020-01-01,3.532160940036832,16.643819069981582,0.0
45,嘉義,2020-01-01,3.4126151276362178,21.4387971875,0.0
68,基隆,2020-01-01,10.039100916666666,21.607725000000002,0.0
91,宜蘭,2020-01-01,6.027331111989796,17.87053792517007,1.0
114,屏東,2020-01-01,5.112139980688131,22.738334204545453,1.0
137,彰化,2020-01-01,1.8499759491808176,24.211046226415093,4.0
160,新北,2020-01-01,6.561640885613207,20.720153380503145,19.0
183,新竹,2020-01-01,2.828377629015432,19.25977054526749,0.0
206,桃園,2020-01-01,3.3366336386243383,20.588222473544974,6.0
229,澎湖,2020-01-01,1.565864865138889,23.98251597222222,0.0
252,臺中,2020-01-01,2.8024672023929593,18.663841156609195,2.0
275,臺北,2020-01-01,6.323544420454546,22.225563636363635,2.0
298,臺南,2020-01-01,3.464956273376238,24.083272194719473,6.0
321,臺東,2020-01-01,3.5501521449575373,18.763733949044585,0.0
344,花蓮,2020-01-01,2.864948306399177,14.29248138888889,0.0
